index	gene
807	B4GALNT2
808	B4GALT1
809	B4GALT2
810	B4GALT3
811	B4GALT4
812	B4GALT5
813	B4GALT6
814	B4GALT7
815	B4GAT1
816	B9D1
817	B9D2
818	BAAT
819	BABAM1
820	BABAM2
821	BACE1
822	BACH1
823	BACH2
824	BAD
825	BAG3
826	BAG4
827	BAG5
828	BAG6
829	BAHD1
830	BAIAP2
831	BAIAP2L1
832	BAK1
833	BAMBI
834	BANF1
835	BANF2
836	BANP
837	BAP1
838	BARD1
839	BARX1
840	BATF
841	BATF2
842	BATF3
843	BAX
844	BAZ1A
845	BAZ1B
846	BAZ2A
847	BBC3
848	BBIP1
849	BBOX1
850	BBS1
851	BBS12
852	BBS2
853	BBS4
854	BBS5
855	BBS7
856	BBS9
857	BCAN
858	BCAP31
859	BCAR1
860	BCAS2
861	BCAS3
862	BCAS4
863	BCAT1
864	BCAT2
865	BCCIP
866	BCHE
867	BCKDHA
868	BCKDHB
869	BCKDK
870	BCL11A
871	BCL11B
872	BCL2
873	BCL2A1
874	BCL2L1
875	BCL2L10
876	BCL2L11
877	BCL2L13
878	BCL2L14
879	BCL3
880	BCL6
881	BCL9
882	BCL9L
883	BCLAF1
884	BCO1
885	BCOR
886	BCORL1
887	BCR
888	BCS1L
889	BDH1
890	BDH2
891	BDKRB1
892	BDKRB2
893	BDNF
894	BDP1
895	BECN1
896	BEST2
897	BET1
898	BET1L
899	BEX1
900	BEX2
901	BEX3
902	BFSP1
903	BFSP2
904	BGLAP
905	BGN
906	BHLHE40
907	BHLHE41
908	BHMT
909	BHMT2
910	BICD2
911	BID
912	BIK
913	BIN1
914	BIN3
915	BIRC2
916	BIRC3
917	BIRC5
918	BIRC7
919	BLK
920	BLM
921	BLMH
922	BLNK
923	BLOC1S1
924	BLOC1S2
925	BLOC1S3
926	BLOC1S4
927	BLOC1S5
928	BLOC1S6
929	BLVRA
930	BLVRB
931	BLZF1
932	BMF
933	BMI1
934	BMP1
935	BMP10
936	BMP15
937	BMP2
938	BMP4
939	BMP6
940	BMP7
941	BMPER
942	BMPR1A
943	BMPR1B
944	BMPR2
945	BMS1
946	BMX
947	BNIP1
948	BNIP3
949	BNIP3L
950	BOC
951	BOD1
952	BOK
953	BOLA1
954	BOLL
955	BOP1
956	BPI
957	BPIFA1
958	BPIFB3
959	BPNT1
960	BPTF
961	BRAF
962	BRAP
963	BRAT1
964	BRCA1
965	BRCA2
966	BRCC3
967	BRD1
968	BRD3
969	BRD4
970	BRD7
971	BRD8
972	BRF2
973	BRI3
974	BRINP1
975	BRIP1
976	BRIX1
977	BRK1
978	BRMS1
979	BRMS1L
980	BROX
981	BRPF1
982	BRPF3
983	BRSK1
984	BRWD1
985	BSCL2
986	BSG
987	BSN
988	BST1
989	BST2
990	BTAF1
991	BTBD1
992	BTBD2
993	BTBD6
994	BTC
995	BTD
996	BTF3
997	BTG1
998	BTG3
999	BTK
1000	BTLA
1001	BTN1A1
1002	BTN2A1
1003	BTN3A1
1004	BTN3A2
1005	BTRC
1006	BUB1
1007	BUB1B
1008	BUB3
1009	BUD13
1010	BUD31
1011	BYSL
1012	BZW1
1013	C11orf54
1014	C15orf48
1015	C1D
1016	C1GALT1
1017	C1GALT1C1
1018	C1QA
1019	C1QBP
1020	C1QC
1021	C1S
1022	C2
1023	C2CD2
1024	C2CD3
1025	C2orf49
1026	C3
1027	C3AR1
1028	C4A
1029	C4B
1030	C4BPA
1031	C4BPB
1032	C5
1033	C5AR1
1034	C6
1035	C6orf120
1036	C7
1037	C8A
1038	C8B
1039	C9
1040	C9orf72
1041	CA1
1042	CA2
1043	CA9
1044	CAB39
1045	CAB39L
1046	CABIN1
1047	CABLES1
1048	CABS1
1049	CABYR
1050	CACNA1A
1051	CACNA1B
1052	CACNA1C
1053	CACNA1D
1054	CACNA1E
1055	CACNA1F
1056	CACNA1G
1057	CACNA1H
1058	CACNA1I
1059	CACNA1S
1060	CACNA2D1
1061	CACNA2D2
1062	CACNB1
1063	CACNB2
1064	CACNB3
1065	CACNB4
1066	CACNG1
1067	CACNG2
1068	CACNG3
1069	CACNG4
1070	CACNG5
1071	CACNG6
1072	CACNG7
1073	CACTIN
1074	CACYBP
1075	CAD
1076	CADM1
1077	CADM3
1078	CADPS
1079	CALCA
1080	CALCOCO1
1081	CALCOCO2
1082	CALCRL
1083	CALD1
1084	CALM1
1085	CALM2
1086	CALM3
1087	CALML5
1088	CALML6
1089	CALR
1090	CALR3
1091	CALU
1092	CALY
1093	CAMK1
1094	CAMK1D
1095	CAMK1G
1096	CAMK2A
1097	CAMK2B
1098	CAMK2D
1099	CAMK2G
1100	CAMK2N2
1101	CAMK4
1102	CAMKK1
1103	CAMKK2
1104	CAMKMT
1105	CAMLG
1106	CAMP
1107	CAMSAP1
1108	CAMSAP3
1109	CAND1
1110	CAND2
1111	CANT1
1112	CANX
1113	CAP1
1114	CAP2
1115	CAPG
1116	CAPN1
1117	CAPN10
1118	CAPN11
1119	CAPN2
1120	CAPN3
1121	CAPN6
